user,comment,sentiment,labeler
??? AMAT?UR S?? VID?O - ?LI?? ??R?,?????? Thanks for the inspiration and the encouragement!! 0:50 ??? ????????,positive,praise
bashar ali,0:59 you can clearly see HAN. So han is a bad guy in this i guess,neutral,praise
KomodatchuTV,1:13 hees name isss Jooooohn cenaaaaa!!!,neutral,praise
Tay Wei Hong,Physics: Exist Family: Im gonna end this mans career,neutral,praise
Noah Boat,One brother is rocking mustang and the other is rocking Dodge I can come y they hate each other,neutral,praise
leyelikan bature,In real life theyll be dead before even the starting of the movie,neutral,praise
dean tirmizi,These people went from mechanics and petty thiefs to john wick assassins and i absolutly love it.,positive,praise
Euthimis,Bring tokyo drift back!!!,neutral,praise
Emmett S,This is the longest trailer ever. I feel like I watched the whole movie.,neutral,praise
Troll Phace,Remember when they just stole DVD players?,neutral,praise
Vamshi N,Me: I cant afford the mustang.. Furious 9: Playing Demolishion Derby with mustang and camaro Me :??????,neutral,praise
StarScream,so this movie is gonna be r-worded... but han back even tho it makes no sense... hes still han,neutral,praise
Jacob Ramirez,Cipher reminds me of Ernst Blofeld Christoph Waltz) from Spectre and No Time To Die.,neutral,praise
Not Mxd,Car : Runs out of gas Dom : who needs gas when you have family,neutral,praise
Lupus,1:43 Is that Cipher? :l,neutral,praise
ginger joe,Paus 2:17 its Shawn from Tokyo Drift,neutral,praise
Relax Santai,han is back.. why they dont want bring back brian?? =)),neutral,praise
Kostas Galanomatis,I also wondering when they will bring Undertaker at Fast franchise...,neutral,praise
denny thomas,This feels like the transformers just keep adding more background storylines with different villains and bigger action pieces. FF20 will be Doms fathers third wifes second kid coming to hurt the family...,neutral,praise
G4bY Play,Im happy to see John Cena and Jackie Chan playing in this franchise,positive,praise
Jahad Meneh,Lol every muscle car destroying their own vehicle,negative,praise
João Vaz,Might as well star to use the Bloodshot technology,neutral,praise
Danny R,So Dom... you have an assassin in the family... K!,neutral,praise
KARDO,Fast And The Furious 10: Return of Thanos.,neutral,praise
Osman Yigit Cimen,Dont let this distract you from the fact that Hector is going to be running three Honda civics with spoon engines and on top of that he just went into Harrys and bought three t66 turbos with nos and a motec exhaust system.,positive,praise
afny S. Fadhillatul Chair,Oh....Han is still alive. I think he was dead in the fast and furious 3 Tokyo Drift).,neutral,praise
Bryan Nason,It is hard to see Cena as a villain since he is fan favorite and how does van movie sister in the movie come back ?,negative,praise
Ricci Rivero,I see John Cena I click.,positive,praise
Santi,CinemaSins is going to have a meltdown when he sees this.,positive,praise
Red Spiral Ray,You know the first couple of movies were enjoyable. Had some dumb moments at times but for the most part tried to be serious. Now? I would rather watch Anakin wax poetic about sand for 3 solid hours than sit through another one of these. I cant even enjoy it ironically.,negative,praise
JuicyMangoes,2021: fast furious 9 2769: fast and furious 649,neutral,praise
Adrian Martinez,Are we gonna see more races. Bring Street Racing back please.,negative,praise
LeoD Caribbean,man i missed the old good days of fast and furious street racing.,negative,praise
JBXD007,They couldve left Han out the trailer audiences wouldve gone crazy,neutral,praise
Cjei Canorino,finally Cena is a heel LOOOL,positive,praise
Shivneet Chand,John Cena is one of the cast but I cant see him in this trailer ?,neutral,praise
Asian Potato,LMAO. HEY WHERE IS THE DAMN RACING????,negative,praise
BxGirl Blazin,I will see every movie in this franchise. I could live without John Cena though.,neutral,praise
IXO,When Fast X comes out is John Cena and Vin Diesel vs their little lost brother Channing Tatum.,neutral,praise
Nebulous Studios,Director: Fast and furious is not about cars its about the story,neutral,praise
Rowen,Should definitely had Dwayne Johnson,negative,praise
Gershom Tan,Idgaf Ill watch this just cause Han is back.,positive,praise
WEED,FF is thaDefinition of dreams come true??????,positive,praise
As45sin _sn95,Remember when fast and the furious was just all about racing running from cops and just cars yeah now its just missions and saving their lifes kinda missed that...,negative,praise
Reddragonninja 59,Dom - i have a brother. Anyone on his team - you never mention him at all. Dom - well Im bored Im looking for a excuse to fight another superstar in the next movie. Tyrese Gibson - When can we go to space?,negative,praise
Winter Tang,My first fast and furious that I watch when I was a kid is tokyo drift because I really love fast cars and Han is my favorite character even though I didnt know his name before and was sad when he died. I can finally see him drive here again,positive,praise
Im beautiful,I cant wait ??????,positive,praise
Markus Varusk,come this is not this is not ok hans is driving the new supra we need hans veilside rx7 back,negative,praise
Tony Msagha,Fast & Furious 10: Wrestlemania. . triple threat match The Rock VS John Cena VS Dom. cause why not?,neutral,praise
Mudit Malhotra,Tokyo drift family ????????,positive,praise
Kevins Journal,Watching this just for Han miss him so much!!,positive,praise
Irshad Mavani,Yes because one wwe star wasnt enough ??,positive,praise
Aster Ginete,This looks really stupid. Cant wait to watch it!,positive,praise
Szootski,F&F: Riding under the truck F&F9: Jumping off the cliff and swinging on the line using car wheel while chasing your evil brother in the magnet plane,neutral,praise
Jesse Wayne Brown,3:40 wait what your alive,neutral,praise
Reaper,Im not gonna watch it until you put back the jdm cars as I know nothin on American muscle.,negative,praise
Box Parody,Fast and furious 1/4/5/6/7/8 “my family “ fast and furious 10 “ my family and old family “. Fast and furious 29 “the family reunion “,neutral,praise
SSJ DON,"Bruh If I see one more ""we cent see John cena in the trailer"" joke lmao",neutral,praise
Ko Weng Ng,No one is ever really gone Palpatine laugh,neutral,praise
Ben Haven,OK so Im guessing they went to Namek and defeated Freezer in order to use the Dragon Balls to bring Han back. The thing is with this joke : Im 90% sure it could happen for real.,positive,praise
Mattia Serra,Please let John cena play himself. The actual John cena being the villain would be 10000× better,neutral,praise
Roslan Mohd,FF9 another version of Avengers that didnt die,neutral,praise
XxHusnaxX K,Nothing is the same without Paul Walker Miss you Paul ??,neutral,praise
Eye Of Ra - Hawka,Isaac Newton: I discovered gravity Dom Torreto : We dont do that here,neutral,praise
?????? ??????,ok yo georgians come out i know youre here lol,neutral,praise
Diego Rodríguez,Suspend disbelief: FF9 level,neutral,praise
__dizz,Theyre running out of Hollywood tough guys for Dom to fight.,neutral,praise
Robloxian LoLster - Roblox Adventures,Is Sean Coming Back cause I saw him at 2:17 pls pause,neutral,praise
The Shredder,"Fast and Furious franchise: ""Its all about family."" Family members betray and fight against each other each movie. Me: Sounds like my family honestly.",neutral,praise
Ali Jamal AJ,This movie is released at my nephews birthday,neutral,praise
Aviciena Fairuz,Soundtrack see you again ??,neutral,praise
Sy Badine,At this point they may as well make a cross over with Transformers. ??,neutral,praise
Rk Kr,O yes bring whole family. Sasu sasra. Jethani derani. Everyone.,neutral,praise
Der Boss,F&F: Paul Walker is gone Also F&F: John Cena is Doms brother,neutral,praise
wekiwisdofly85,Fast 17 dom finds out he has another brother Dave torreto but hes been living under the alias Dave Bautista. He and cena fight to see who was invisible first. Fast 18 dom Dave and cena try to....GLASS SHATTERS!),neutral,praise
doki koki,so they really did cut off dwanyne the rock johnson from that tyrese rock beef huh,neutral,praise
Santos Cardenas,Yall remember when cardi that she was in fast In furious,neutral,praise
BiopticSnake,FF10 to Fast to the Future - the crew find the delorian plans and recreate it in there own vehicles and race threw time and race alternate versions of themselves.,neutral,praise
Randy White,“He is a robber Assassin” But Most Importantly “You Cant see Him”,neutral,praise
Ayush Agrawal,This is turning into Bold and Beautiful,positive,praise
SAURABH SINGH,I can still feel the Love.....,positive,praise
?????? ???????,Rest in peace Paul ! Rest in peace The Fast and the Furious!,neutral,praise
Kanden,Theyre almost getting to the point where theyll just be picking up the cars and throwing them at each other.,neutral,praise
Alejandro Murillo,This movie series is just turning into a random pvp gta 5 server. thanks for the likes guys!!),neutral,praise
JDEO,Can we have a scene before they Good Bye they will see their Cars on F&F1-2 their Riced Cars again then Last Final Drive? plssss F&F makes my Childhood it makes me more Car Guy,neutral,praise
Smile Of Yerin,2:24 GTA?,neutral,praise
justin bell,Wait how is Han chinese guy) alive? I thought he died in Tokyo Drift...,neutral,praise
febi kinanti,"arrived there paul Walker omg Tiba"" Ada Paul Walker yatuhan)",positive,praise
Jay Philly,I swear they will be racing in space when this series is done.,neutral,praise
Siddhanth Garg,1:50 - 1:56 this scene is Awesome...,positive,praise
Wauseka York,Okay yall seriously need to start killing yalls characters off. Give some interest instead of giving us more characters...,negative,praise
kucing catycaty,Yall keep saying from race to save the worldwhy u care bout that its all about family.,neutral,praise
Tiktok tea,See you again at the beginning ??,neutral,praise
chikibits,At FF 10 John Cena will be an ally. Then they have to defeat the Undertaker and the Big Show,neutral,praise
Johnny Blaze Gaming,John Cena theme should have played when he was standing in front of Vin Diesel,neutral,praise
jonas FAMILY vlog,this is what we have been waiting for fast and furious 9,positive,praise
Fortcraft98,YOU CANT SEE doms brother,neutral,praise
N4 x Assassin,Soon Fast and the Furious is gonna have the whole WWE as the cast,neutral,praise
charley15z,I appreciate Charlize Therons commitment to having the worst hair possible for these movies.,negative,praise
eurisko,I suggest that next fast and furious be in Egypt.,neutral,praise
Amethyst Shelly,The only thing keeping me watching this movie is for the action and that theyre finally bringing in the Tokyo family. Like Ive been waiting to see Sean and the crew. Like Im kinda excited for this,positive,praise
BruhBruh 149,the ironman snap from avenger endgame make han alive again lol,neutral,praise
Tr?ng Vinh Lê,"3:35 ""I wonder if u kno..""",neutral,praise
Badr Abuljadayel,"The villain for the next movie should be Ja Rule ""Remember me Dom? You ruined my threesome with Monicccaaa!""",neutral,praise
But How,Soooo excited. Cant wait to watch. ????,positive,praise
Mason Myers 31st,FasTEN for Furious see how I did oh yea lol????,neutral,praise
Benton Xavier,F1: Racing cars F9: Magnet plane F10: Mega ultra spaceship of the cosmos,neutral,praise
Kevin Jackson,Finally got that John Cena Heel Turn,neutral,praise
Ian Gamer 12,Coming soon: Fast and Furious 10 the family of toretto vs the avengers.,neutral,praise
tempsentemps,I see drifting I like.,positive,praise
JM2 plays,A new fast and furious movie Isaac Newton: sighs,neutral,praise
David Martinez,I am excited to see Dom catch up to the plane and then his brother hops on a rocket to get away and Dom fires a missile while hanging on it to catch up and they fight while riding rockets like surf boards. I cant wait for the sequel Fast 10 your seat belts.,positive,praise
Andres Mendez,Expect to see the whole cast of WWE in the next Fast movies ??,neutral,praise
Sand Man,This shouldnt even be called Fast and the Furious 9 it should be called Grand Theft Auto Online.,negative,skolastika
AF Official,Fast and furious 10 Giselle back,positive,skolastika
Tedy Rufus,FAST 1 simple movie. FAST 8 too much complicated. FAST 9 same FAST 10: Dom vs Alien,neutral,skolastika
CHIKITO BUBUBABA,and than Walking Dead actor Glen will return on season 11????,positive,skolastika
Emery,When The Fast and Furious has a better Saga then Star Wars,positive,skolastika
Hmohngchee Lee,Plot twist Doms father is alive its Sylvester Stallone.,neutral,skolastika
Daniel Malmstone,at 2:16 the main guy from Tokyo Drift pops up for like a split second :D,positive,skolastika
ArToFs Q,The guy from Tokyo drift is alive WTF and he has the same car in Tokyo drift,neutral,skolastika
M Payio Jacob,From 08 sec to 27sec music remind me some one special in this movie.,positive,skolastika
France Trap,Little question in FF10 how will Shaw react when he realizes that Han is not dead?,neutral,skolastika
Miro Pärtty,F8: Dom has a secret son. F9: Dom has a secret brother. F10: Dom has a secret grandmother. She has been pulling the strings behind the scenes for all these years. The ultimate evil genius Mama Toretto,neutral,skolastika
OnlyGames OnThisAccount,Guys if u look closely in 2:17 its sean and the japan guy from the tokiyo drift waw,positive,skolastika
